Rk,Team,Win Before Allstar
1,Milwaukee Bucks,46
2,Toronto Raptors,40
3,Los Angeles Lakers,41
4,Los Angeles Clippers,37
5,Boston Celtics,38
6,Denver Nuggets,38
7,Indiana Pacers,32
8,Houston Rockets,34
9,Miami Heat,35
10,Oklahoma City Thunder,33
11,Utah Jazz,36
12,Dallas Mavericks,33
13,Philadelphia 76ers,34
14,Brooklyn Nets,25
15,Portland Trail Blazers,25
16,Memphis Grizzlies,28
17,Phoenix Suns,22
18,Orlando Magic,24
19,San Antonio Spurs,23
20,Sacramento Kings,21
21,New Orleans Pelicans,23
22,Washington Wizards,20
23,Charlotte Hornets,18
24,Chicago Bulls,19
25,New York Knicks,17
26,Atlanta Hawks,15
27,Detroit Pistons,19
28,Cleveland Cavaliers,14
29,Minnesota Timberwolves,16
30,Golden State Warriors,12
